student_id,name,year_group
S001,John Doe,7
S002,Emily Turner,7
S003,Jane Smith,7
S004,Michael Scott,7
S005,Alice Johnson,7
S006,Benjamin White,7
S007,Bob Brown,7
S008,David Evans,7
S009,Charlie Davis,7
S010,Charlie Davis,7
S011,David Evans,7
S012,Daniel Edwards,7
S013,Ella Foster,7
S014,Fiona Foster,7
S015,Frank Green,7
S016,George Hall,7
S017,Grace Harris,7
S018,Harry Harris,7
S019,Hannah Irvine,7
S020,Isla Johnson,7
S021,Ian Jackson,8
S022,Isabella Jackson,8
S023,Jack King,8
S024,Julia Roberts,8
S025,Liam Lewis,8
S026,Lucas Lewis,8
S027,Mia Martinez,8
S028,Olivia Parker,8
S029,Noah Nelson,8
S030,Nick Nelson,8
